Review_ID,Customer_ID,Review_Text,Sentiment_Label,Rating,Service_Type
46769471-fc42-4d64-b6a8-f93d21993070,515e1f54-6a6b-4412-9f0a-e6a560185fc9,Billion well design some account purpose wrong worker safe hospital kid too pay wall whole.,Neutral,3,Policy Purchase
5faa0323-9f3b-4e2d-a836-b8041fc92be1,69eb2429-dc18-4d11-bcd1-d75d3db65725,Paper theory attorney once however beautiful star identify detail stuff media owner both trip improve rather statement debate bed need impact enjoy.,Positive,3,Policy Purchase
56a19d03-fcf1-4129-ad96-0d575b9b49e0,43a96e7f-8029-4bf1-9156-1fa7e5bd7008,Than finish American either store live technology like yeah relate collection tonight against beat chair capital worker.,Neutral,5,Policy Purchase
a25e921c-6bcf-496f-9a5a-70172c99f05d,f0852fbc-8b17-4df7-babf-5d73f756a0e9,While open whole certainly picture card memory act return inside sit identify ok create ok high decision computer begin participant.,Neutral,4,Support
80f86252-b8f9-4984-9370-21a50b2f165c,14cb179d-4cfe-4def-9d61-6b323e3891c8,Crime Mrs them financial professional other film generation magazine high fast prevent information seat enjoy else girl develop actually occur scientist.,Positive,2,Claim
0d3c0c62-bdda-4dda-821e-42d7ea6afa89,4f520250-3756-4c8b-a0fa-8703bc1cad42,Give part low store different something size throw ever together individual number expert garden such into.,Positive,4,Claim
71934556-5988-4f1d-9a38-671a891db6d4,848e70a1-a655-4f8d-a655-d34e742eca03,Defense quite much task relationship green give international method by training stage under similar up in evidence business total seven spring science adult.,Neutral,4,Claim
98aff3e6-7a44-4131-b900-bf902eb17af8,563eb7e6-c543-44d1-a45b-f68733aed103,Something party religious foot however federal time road born all fly benefit nice conference support answer enter almost color claim find near address want act election current.,Negative,3,Claim
c70dadad-5c5e-470c-b151-bd857d48013e,56b964b8-f0ff-415f-90cb-540d48ca24e7,Check final blood deal than reduce above box few certainly situation seat through when action form point fear take.,Neutral,4,Claim
14ba2611-92b9-4536-9cc0-499cdbfe6f49,6ac48af1-8d43-44cf-906c-8fb4172b7a83,Far thank floor partner fly nearly price past again window activity end.,Neutral,1,Claim
ce83ad52-99db-4311-9d69-0ad4bbf0074f,aea7aa23-b5ca-4617-b85c-8d3ba68071a4,Situation fight worker method record inside write physical expert major still direction cost eight base adult force half break candidate themselves another security.,Neutral,3,Claim
3b923d84-8d10-4f86-90d9-6c55a916152d,9aaa10bb-5975-4919-afc6-847688d634e0,Recently experience back think you black design then determine peace high century possible size TV true.,Neutral,1,Claim
3f36d566-742d-4204-ba7c-a86d01c52d6b,6a8ca27f-e851-4dde-8a39-e68a2aa6f47c,Base face base sure outside agree break fire under production his cut enter water able card day four coach pattern son travel main.,Positive,2,Support
